Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
36,36,2010-01-08,36-291,DAL,@,SAS,W (+9),1,41:22,3,7,.429,2,5,.400,1,2,.500,1,4,5,8,2,1,2,2,9,12.3,+8
37,37,2010-01-09,36-292,DAL,,UTA,L (-18),1,37:09,7,11,.636,4,5,.800,1,2,.500,2,3,5,8,0,1,2,3,19,19.1,-5
38,38,2010-01-13,36-296,DAL,,LAL,L (-5),1,35:04,4,9,.444,3,8,.375,0,0,,0,7,7,11,0,0,2,2,11,13.3,-2
39,39,2010-01-15,36-298,DAL,,OKC,W (+1),1,37:34,4,8,.500,2,5,.400,1,3,.333,0,4,4,11,4,2,1,2,11,18.7,+8
40,40,2010-01-17,36-300,DAL,@,TOR,L (-22),1,31:59,4,8,.500,2,4,.500,2,2,1.000,0,5,5,9,0,0,2,2,12,13.0,-15
41,41,2010-01-18,36-301,DAL,@,BOS,W (+9),1,41:56,5,7,.714,3,3,1.000,0,0,,1,3,4,17,1,0,3,2,13,20.8,+15
42,42,2010-01-20,36-303,DAL,@,WAS,W (+1),1,38:56,2,10,.200,1,7,.143,1,1,1.000,1,4,5,15,2,0,1,3,6,12.0,+1
43,43,2010-01-22,36-305,DAL,@,PHI,L (-11),1,34:41,2,7,.286,1,4,.250,0,0,,0,9,9,7,3,1,4,2,5,7.4,-8
44,,2010-01-24,36-307,DAL,@,NYK,W (+50),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,44,2010-01-26,36-309,DAL,,MIL,W (+1),1,36:46,4,8,.500,3,6,.500,0,0,,1,3,4,12,2,0,3,1,11,15.6,-3
46,45,2010-01-28,36-311,DAL,@,PHO,L (-6),1,37:18,5,10,.500,3,6,.500,0,0,,0,4,4,6,2,0,4,1,13,11.0,+1
47,46,2010-01-30,36-313,DAL,,POR,L (-2),1,40:14,4,8,.500,2,5,.400,0,0,,2,2,4,10,1,2,2,3,10,14.2,-11
48,47,2010-02-01,36-315,DAL,@,UTA,L (-12),1,36:00,4,10,.400,2,5,.400,1,2,.500,0,3,3,9,2,0,2,2,11,11.6,-6
49,48,2010-02-03,36-317,DAL,,GSW,W (+9),1,33:44,2,8,.250,2,7,.286,0,0,,0,3,3,16,6,0,4,1,6,14.9,+5
50,49,2010-02-05,36-319,DAL,,MIN,L (-9),1,36:55,4,9,.444,2,5,.400,7,7,1.000,2,4,6,7,4,2,5,0,17,20.2,-9
